modelo,precio,vram,tipo-vram,puertos,dimensiones,consumo
Tarjeta Gráfica Asus Dual Radeon RX 7800 XT OC 16GB GDDR6,529,95,16GB,GDDR6,Sí x 3 (DisplayPort 2.1 nativo),PSU Recomendada: 750W,Dimensiones: 279.9 x 133.9 x 49.3 mm (11.02 x 5.27 x 1.94 pulgadas)
Tarjeta Gráfica PowerColor AMD Radeon RX 6600 Fighter 8GB GDDR6,219,95,8GB,GDDR6,HDMI: 7680×4320,PSU Recomendada: 750W,Dimensiones del tablero: 200 mm * 111 mm * 39 mm
Tarjeta Gráfica MSI GeForce RTX 4060 Ti VENTUS 2X Black OC 8GB GDDR6 DLSS3,439,95,8GB,GDDR6,HDMI™ x 1 (Admite 4K@120Hz HDR y 8K@60Hz HDR y tasa de actualización variable (VRR) según lo especificado en HDMI™ 2.1a),PSU recomendada 550 W,Dimensiones de la tarjeta (mm) 199 x 120 x 42 mm
Tarjeta Gráfica Gigabyte Radeon RX 7800 XT Gaming OC 16GB GDDR6,535,95,None,GDDR6,HDMI: 2.1 *2,PSU Recomendada: 700W,Tamaño de la Tarjeta: L=302 mm x W=130 mm x H=56 mm
Tarjeta Gráfica Gigabyte GeForce RTX 4060 WindForce OC 8GB GDDR6 DLSS3,329,95,None,GDDR6,HDMI2.1a*2:,PSU Recomendada: 700W,Tamaño de la tarjeta: Largo=192 Ancho=120 Alto=41 mm
Tarjeta Gráfica Gigabyte GeForce RTX 3060 Windforce OC LHR 12GB GDDR6,299,95,None,GDDR6,HDMI 2.1 * 2,PSU Recomendada: 700W,Tamaño de la tarjeta: Largo=198 Ancho=121 Alto=39 mm
Tarjeta Gráfica MSI GeForce RTX 3050 VENTUS 2X XS OC 8GB GDDR6,234,95,8GB,GDDR6,DL?DVI?D x 1,PSU Recomendada: 700W,Dimensión de la tarjeta (mm) 205 x 112 x 45 mm
Tarjeta Gráfica Gigabyte GeForce RTX 4060 EAGLE OC 8GB GDDR6 DLSS3,339,95,None,GDDR6,HDMI 2.1a * 2,PSU Recomendada: 700W,Tamaño de la tarjeta: Largo=272 Ancho=115 Alto=40 mm
Tarjeta Gráfica Gigabyte GeForce RTX 4060 GAMING OC 8GB GDDR6 DLSS3,359,95,None,GDDR6,HDMI 2.1a * 2,PSU Recomendada: 700W,Tamaño de la tarjeta: Largo=281 Ancho=114 Alto=40 mm
Tarjeta Gráfica INNO3D GeForce RTX 3060 TWIN X2 12GB GDDR6,294,95,None,GDDR6,Conectores Estándar de Pantalla: HDMI 2.1, 3x DisplayPort 1.4a,PSU Recomendada: 700W,Altura: 120mm
Tarjeta Gráfica MSI GeForce RTX 3050 LP OC 6GB GDDR6,209,95,GB,GDDR6,HDMI™ x 2 (Soporta 4K@120Hz según especificaciones de HDMI™ 2.1),PSU Recomendada: 700W,Altura: 120mm
Tarjeta Gráfica PowerColor Radeon RX 7900 XTX Hell Hound OC 24GB GDDR6,1.099,95,24GB,GDDR6,HDMI: 7680×4320,PSU Recomendada: 700W,Dimensiones del tablero: 320 mm * 118,5 mm * 62 mm; 338 mm * 147 mm * 62 mm (con soporte)
Tarjeta Gráfica MSI GeForce RTX 4070 SUPER GAMING X SLIM 12GB GDDR6X DLSS3,899,95,24GB,GDDR6,HDMI™ x 1 (Soporta 4K@120Hz HDR, 8K@60Hz HDR, y Variable Refresh Rate según especificaciones en HDMI™ 2.1a),PSU Recomendada: 700W,Dimensiones del tablero: 320 mm * 118,5 mm * 62 mm; 338 mm * 147 mm * 62 mm (con soporte)
